Company,NSE Symbol,ISIN,Sector,Sub-Industry
PNC Infratech Limited,PNCINFRA,INE195J01029,Industrials,Civil Construction
Happiest Minds Technologies Limited,HMT,INE262A01018,Information Technology,Computers - Software & Consulting
Piccadily Agro Industries Limited,PICCADIL,INE546C01010,Fast Moving Consumer Goods,Breweries & Distilleries
SIS LIMITED,SIS,INE285J01028,Consumer Discretionary,Other Consumer Services
Mrs. Bectors Food Specialities Limited,BECTORFOOD,INE495P01020,Fast Moving Consumer Goods,Packaged Foods
Epigral Limited,EPIGRAL,INE071N01016,Commodities,Specialty Chemicals
Nirlon Limited,NIRLON,INE910A01012,Services,Diversified Commercial Services
SML Mahindra Limited,SMLMAH,INE294B01019,Industrials,Commercial Vehicles
Saatvik Green Energy Limited,SAATVIKGL,INE13B501022,Industrials,Other Electrical Equipment
Hindustan Construction Company Limited,HCC,INE549A01026,Industrials,Civil Construction
Rain Industries Limited,RAIN,INE855B01025,Commodities,Petrochemicals
Gujarat Alkalies and Chemicals Limited,GUJALKALI,INE186A01019,Commodities,Commodity Chemicals
Ahluwalia Contracts (India) Limited,AHLUCONT,INE758C01029,Industrials,Civil Construction
Puravankara Limited,PURVA,INE323I01011,Consumer Discretionary,Residential Commercial Projects
Dhanuka Agritech Limited,DHANUKA,INE435G01025,Commodities,Pesticides & Agrochemicals
Skipper Limited,SKIPPER,INE439E01022,Industrials,Heavy Electrical Equipment
ICRA Limited,ICRA,INE725G01011,Financial Services,Ratings
Sharda Motor Industries Limited,SHARDAMOTR,INE597I01028,Consumer Discretionary,Auto Components & Equipments
CARE Ratings Limited,CARERATING,INE752H01013,Financial Services,Ratings
Omnitech Engineering Limited,OMNI,INE0UH301010,Industrials,Industrial Products
Surya Roshni Limited,SURYAROSNI,INE335A01020,Industrials,Iron & Steel Products
TVS Supply Chain Solutions Limited,TVSSCS,INE395N01027,Services,Logistics Solution Provider
Senores Pharmaceuticals Limited,SENORES,INE0RB801010,Healthcare,Pharmaceuticals
GNG Electronics Limited,EBGNG,INE18JU01028,Information Technology,Computers Hardware & Equipments
Lumax Industries Limited,LUMAXIND,INE162B01018,Consumer Discretionary,Auto Components & Equipments
Knowledge Marine & Engineering Works Limited,KMEW,INE0CJD01029,Services,Dredging
Aeroflex Industries Limited,AEROFLEX,INE024001021,Industrials,Iron & Steel Products
V-Mart Retail Limited,VMART,INE665J01013,Consumer Discretionary,Diversified Retail
C.E. Info Systems Limited,MAPMYINDIA,INE0BV301023,Information Technology,Software Products
Mastek Limited,MASTEK,INE759A01021,Information Technology,Computers - Software & Consulting
CMS Info Systems Limited,CMSINFO,INE925R01014,Services,Diversified Commercial Services
Pilani Investment and Industries Corporation Limited,PILANIINVS,INE417C01014,Financial Services,Investment Company
Gokaldas Exports Limited,GOKEX,INE887G01027,Consumer Discretionary,Garments & Apparels
Bansal Wire Industries Limited,BANSALWIRE,INE0B9K01025,Industrials,Iron & Steel Products
LG Balakrishnan & Bros Limited,LGBBROSLTD,INE337A01034,Consumer Discretionary,Auto Components & Equipments
Innova Captab Limited,INNOVACAP,INE0DUT01020,Healthcare,Pharmaceuticals
Network18 Media & Investments Limited,NETWORK18,INE870H01013,Consumer Discretionary,Media & Entertainment
RattanIndia Power Limited,RTNPOWER,INE399K01017,Utilities,Power Generation
Keystone Realtors Limited,RUSTOMJEE,INE263M01029,Consumer Discretionary,Residential Commercial Projects
Symphony Limited,SYMPHONY,INE225D01027,Consumer Discretionary,Household Appliances
Rallis India Limited,RALLIS,INE613A01020,Commodities,Pesticides & Agrochemicals
AvenuesAI Limited,CCAVENUE,INE483S01020,Financial Services,Financial Technology (Fintech)
Agi Infra Limited,AGIIL,INE976R01033,Consumer Discretionary,Residential Commercial Projects
Midwest Limited,MIDWESTLTD,INE0XAD01024,Consumer Discretionary,Granites & Marbles
Goodluck India Limited,GOODLUCK,INE127I01024,Industrials,Iron & Steel Products
Shilchar Technologies Limited,SHILCTECH,INE024F01011,Industrials,Heavy Electrical Equipment
Canara Robeco Asset Management Company Limited,CRAMC,INE218I01013,Financial Services,Asset Management Company
Kaveri Seed Company Limited,KSCL,INE455I01029,Fast Moving Consumer Goods,Other Agricultural Products
Unimech Aerospace and Manufacturing Limited,UNIMECH,INE0U3I01011,Industrials,Aerospace & Defense
Datamatics Global Services Limited,DATAMATICS,INE365B01017,Information Technology,IT Enabled Services
Centum Electronics Limited,CENTUM,INE320B01020,Industrials,Aerospace & Defense
Websol Energy System Limited,WEBELSOLAR,INE855C01023,Industrials,Other Electrical Equipment
GE Power India Limited,GVPIL,INE878A01011,Industrials,Heavy Electrical Equipment
Indigo Paints Limited,INDIGOPNTS,INE09VQ01012,Consumer Discretionary,Paints
Subros Limited,SUBROS,INE287B01021,Industrials,Other Industrial Products
Wakefit Innovations Limited,WAKEFIT,INE0E7301029,Consumer Discretionary,Furniture Home Furnishing
Stylam Industries Limited,STYLAMIND,INE239C01020,Consumer Discretionary,Plywood Boards/ Laminates
Neogen Chemicals Limited,NEOGEN,INE136S01016,Commodities,Specialty Chemicals
KSH International Limited,KSHINTL,INE987S01020,Industrials,Aluminium Copper & Zinc Products
Sterling and Wilson Renewable Energy Limited,IREDA,INE202E01016,Industrials,Civil Construction
Northern Arc Capital Limited,CIFL,INE345H01024,Financial Services,Non Banking Financial Company (NBFC)
Jamna Auto Industries Limited,JAMNAAUTO,INE039C01032,Consumer Discretionary,Auto Components & Equipments
Aurionpro Solutions Limited,AURIONPRO,INE132H01018,Information Technology,Computers - Software & Consulting
Juniper Hotels Limited,JUNIPER,INE696F01016,Consumer Discretionary,Hotels & Resorts
Swaraj Engines Limited,SWARAJENG,INE277A01016,Industrials,Compressors Pumps & Diesel Engines
Bajaj Hindusthan Sugar Limited,BAJAJHIND,INE306A01021,Fast Moving Consumer Goods,Sugar
Artemis Medicare Services Limited,ARTEMISMED,INE025R01021,Healthcare,Hospital
Raymond Lifestyle Limited,RAYMOND,INE301A01014,Consumer Discretionary,Other Textile Products
Man Industries (India) Limited,MANINDS,INE993A01026,Industrials,Iron & Steel Products
Gulf Oil Lubricants India Limited,GULFOILLUB,INE635Q01029,Energy,Lubricants
Paisalo Digital Limited,PAISALO,INE420C01059,Financial Services,Non Banking Financial Company (NBFC)
Laxmi Organic Industries Limited,LXCHEM,INE576O01020,Commodities,Specialty Chemicals
Responsive Industries Limited,RESPONIND,INE688D01026,Consumer Discretionary,Furniture Home Furnishing
Pondy Oxides & Chemicals Limited,POCL,INE063E01053,Commodities,Diversified Metals
Just Dial Limited,JUSTDIAL,INE599M01018,Consumer Discretionary,Internet & Catalogue Retail
Texmaco Rail & Engineering Limited,TEXRAIL,INE621L01012,Industrials,Railway Wagons
Thomas Cook  (India)  Limited,THOMASCOOK,INE332A01027,Consumer Discretionary,Tour Travel Related Services
Electronics Mart India Limited,EMIL,INE02YR01019,Consumer Discretionary,Diversified Retail
VST Industries Limited,VSTIND,INE710A01016,Fast Moving Consumer Goods,Cigarettes & Tobacco Products
Goldiam International Limited,GOLDIAM,INE025B01025,Consumer Discretionary,Gems Jewellery And Watches
Advanced Enzyme Technologies Limited,ADVENZYMES,INE837H01020,Healthcare,Biotechnology
VRL Logistics Limited,VRLLOG,INE366I01010,Services,Logistics Solution Provider
Avantel Limited,AVANTEL,INE005B01027,Industrials,Aerospace & Defense
VIP Industries Limited,VIPIND,INE054A01027,Consumer Discretionary,Plastic Products - Consumer
Krishana Phoschem Limited,KRISHANA,INE506W01012,Commodities,Fertilizers
IFB Industries Limited,IFBIND,INE559A01017,Consumer Discretionary,Household Appliances
WPIL Limited,WPIL,INE765D01022,Industrials,Other Industrial Products
Sunteck Realty Limited,SUNTECK,INE805D01034,Consumer Discretionary,Residential Commercial Projects
Seshaasai Technologies Limited,STYL,INE04VU01023,Financial Services,Financial Technology (Fintech)
Oswal Pumps Limited,OSWALPUMPS,INE0BYP01024,Industrials,Compressors Pumps & Diesel Engines
Zota Health Care LImited,ZOTA,INE358U01012,Healthcare,Pharmaceuticals
OnEMI Technology Solutions Limited,KISSHT,INE12F801023,Financial Services,Other Financial Services
PDS Limited,PDSL,INE111Q01021,Consumer Discretionary,Trading - Textile Products
GHCL Limited,GHCL,INE539A01019,Commodities,Commodity Chemicals
Lux Industries Limited,LUXIND,INE150G01020,Consumer Discretionary,Garments & Apparels
Sindhu Trade Links Limited,SINDHUTRAD,INE325D01025,Energy,Coal
Capillary Technologies India Limited,CAPILLARY,INE0ILV01024,Information Technology,Software Products
TruAlt Bioenergy Limited,TRUALT,INE0MWH01014,Fast Moving Consumer Goods,Other Agricultural Products
Ram Ratna Wires Limited,RAMRAT,INE207E01023,Industrials,Other Electrical Equipment
Wheels India Limited,WHEELS,INE715A01015,Consumer Discretionary,Auto Components & Equipments
Seamec Limited,SEAMECLTD,INE497B01018,Services,Shipping
Vishnu Chemicals Limited,VISHNU,INE270I01022,Commodities,Specialty Chemicals
SMS Pharmaceuticals Limited,SMSPHARMA,INE812G01025,Healthcare,Pharmaceuticals
Greaves Cotton Limited,GREAVESCOT,INE224A01026,Industrials,Compressors Pumps & Diesel Engines
Shivalik Bimetal Controls Limited,SBCL,INE386D01027,Industrials,Iron & Steel Products
Moschip Technologies Limited,MOSCHIP,INE935B01025,Information Technology,Computers Hardware & Equipments
Orient Electric Limited,ORIENTELEC,INE142Z01019,Consumer Discretionary,Household Appliances
Rolex Rings Limited,ROLEXRINGS,INE645S01024,Consumer Discretionary,Auto Components & Equipments
Pace Digitek Limited,PACEDIGITK,INE0S3G01027,Telecommunication,Telecom - Infrastructure
Bajaj Electricals Limited,BAJAJELEC,INE193E01025,Consumer Discretionary,Household Appliances
Foseco India Limited,FOSECOIND,INE519A01011,Commodities,Specialty Chemicals
eMudhra Limited,EMUDHRA,INE01QM01018,Information Technology,IT Enabled Services
NACL Industries Limited,NACLIND,INE295D01020,Commodities,Pesticides & Agrochemicals
GMM Pfaudler Limited,GMMPFAUDLR,INE541A01023,Industrials,Industrial Products
Refex Industries Limited,REFEX,INE056I01025,Commodities,Industrial Gases
TARC Limited,TARC,INE0EK901012,Consumer Discretionary,Residential Commercial Projects
H.G. Infra Engineering Limited,HGINFRA,INE926X01010,Industrials,Civil Construction
Ashiana Housing Limited,ASHIANA,INE365D01021,Consumer Discretionary,Residential Commercial Projects
Vaibhav Global Limited,VAIBHAVGBL,INE884A01027,Consumer Discretionary,Gems Jewellery And Watches
Hawkins Cookers Limited,HAWKINCOOK,INE979B01015,Consumer Discretionary,Houseware
Fineotex Chemical Limited,FCL,INE045J01034,Commodities,Specialty Chemicals
AGI Greenpac Limited,AGI,INE415A01038,Industrials,Packaging
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL,INE782A01015,Consumer Discretionary,Household Appliances
Raymond Realty Limited,RAYMONDREL,INE1SY401010,Consumer Discretionary,Residential Commercial Projects
Shoppers Stop Limited,SHOPERSTOP,INE498B01024,Consumer Discretionary,Diversified Retail
Harsha Engineers International Limited,ENGINERSIN,INE510A01028,Industrials,Other Industrial Products
National Fertilizers Limited,NFL,INE870D01012,Commodities,Fertilizers
D.B.Corp Limited,DBCORP,INE950I01011,Consumer Discretionary,Print Media
Orchid Pharma Limited,ORCHPHARMA,INE191A01027,Healthcare,Pharmaceuticals
Rashi Peripherals Limited,RPTECH,INE0J1F01024,Information Technology,Computers Hardware & Equipments
Gopal Snacks Limited,GOPAL,INE0L9R01028,Fast Moving Consumer Goods,Packaged Foods
Timex Group India Limited,TIMEX,INE064A01026,Consumer Discretionary,Gems Jewellery And Watches
Crizac Limited,CRIZAC,INE0S4R01014,Consumer Discretionary,Internet & Catalogue Retail
Ashoka Buildcon Limited,ASHOKA,INE442H01029,Industrials,Civil Construction
Raymond Limited,RAYMOND,INE301A01014,Industrials,Industrial Products
HeidelbergCement India Limited,HEIDELBERG,INE578A01017,Commodities,Cement & Cement Products
Kalyani Steels Limited,KSL,INE907A01026,Industrials,Iron & Steel Products
Jtekt India Limited,JTEKTINDIA,INE643A01035,Consumer Discretionary,Auto Components & Equipments
Sanathan Textiles Limited,SANATHAN,INE0JPD01013,Consumer Discretionary,Other Textile Products
Chemplast Sanmar Limited,CHEMPLASTS,INE488A01050,Commodities,Specialty Chemicals
Pitti Engineering Limited,PITTIENG,INE450D01021,Industrials,Industrial Products
Indiqube Spaces Limited,INDIQUBE,INE06ST01018,Services,Diversified Commercial Services
Flair Writing Industries Limited,FLAIR,INE00Y201027,Fast Moving Consumer Goods,Stationary
KDDL Limited,KDDL,INE291D01011,Consumer Discretionary,Gems Jewellery And Watches
Aye Finance Limited,AYE,INE501X01029,Financial Services,Non Banking Financial Company (NBFC)
Tourism Finance Corporation of India Limited,TFCILTD,INE305A01023,Financial Services,Financial Institution
NRB Bearing Limited,NIBL,INE047O01014,Consumer Discretionary,Auto Components & Equipments
Aarti Drugs Limited,AARTIDRUGS,INE767A01016,Healthcare,Pharmaceuticals
IOL Chemicals and Pharmaceuticals Limited,IOLCP,INE485C01029,Healthcare,Pharmaceuticals
Rossell Techsys Limited,ROSSTECH,INE0OJW01016,Industrials,Aerospace & Defense
GRM Overseas Limited,GRMOVER,INE192H01020,Fast Moving Consumer Goods,Other Agricultural Products
Sandhar Technologies Limited,SANDHAR,INE278H01035,Consumer Discretionary,Auto Components & Equipments
Dishman Carbogen Amcis Limited,DCAL,INE385W01011,Healthcare,Pharmaceuticals
Shanthi Gears Limited,SHANTIGEAR,INE631A01022,Industrials,Industrial Products
Hind Rectifiers Limited,HIRECT,INE835D01023,Industrials,Industrial Products
Carraro India Limited,CARRARO,INE0V7W01012,Consumer Discretionary,Auto Components & Equipments
IndoStar Capital Finance Limited,CIFL,INE345H01024,Financial Services,Non Banking Financial Company (NBFC)
Enviro Infra Engineers Limited,EIEL,INE0LLY01014,Utilities,Water Supply & Management
Kirloskar Industries Limited,KIRLOSIND,INE250A01039,Industrials,Other Industrial Products
Marathon Nextgen Realty Limited,MARATHON,INE182D01020,Consumer Discretionary,Residential Commercial Projects
Cyient DLM Limited,CYIENTDLM,INE055S01018,Industrials,Aerospace & Defense
Navneet Education Limited,NAVNETEDUL,INE060A01024,Fast Moving Consumer Goods,Stationary
Indraprastha Medical Corporation Limited,INDRAMEDCO,INE681B01017,Healthcare,Hospital
Steel Strips Wheels Limited,WHEELS,INE715A01015,Consumer Discretionary,Auto Components & Equipments
Universal Cables Limited,UNIVCABLES,INE279A01012,Industrials,Cables - Electricals
Marine Electricals (India) Limited,MARINE,INE01JE01028,Industrials,Industrial Products
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,INE414D01027,Commodities,Pesticides & Agrochemicals
ROUTE MOBILE LIMITED,ROUTE,INE450U01017,Telecommunication,Other Telecom Services
Sambhv Steel Tubes Limited,SAMBHV,INE12NJ01018,Industrials,Iron & Steel Products
R Systems International Limited,RSYSTEMS,INE411H01032,Information Technology,IT Enabled Services
Samhi Hotels Limited,SAMHI,INE08U801020,Consumer Discretionary,Hotels & Resorts
Novartis India Limited,NOVARTIND,INE234A01025,Healthcare,Pharmaceuticals
West Coast Paper Mills Limited,WSTCSTPAPR,INE976A01021,Commodities,Paper & Paper Products
63 moons technologies limited,63MOONS,INE111B01023,Information Technology,Computers - Software & Consulting
RPSG VENTURES LIMITED,RPSGVENT,INE425Y01011,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Greenply Industries Limited,GREENPLY,INE461C01038,Consumer Discretionary,Plywood Boards/ Laminates
Dredging Corporation of India Limited,DREDGECORP,INE506A01018,Services,Dredging
SG Finserve Limited,SGFIN,INE618R01015,Financial Services,Non Banking Financial Company (NBFC)
Kitex Garments Limited,KITEX,INE602G01020,Consumer Discretionary,Garments & Apparels
Bliss GVS Pharma Limited,BLISSGVS,INE416D01022,Healthcare,Pharmaceuticals
Balmer Lawrie & Company Limited,BALMLAWRIE,INE164A01016,Diversified,Diversified
MPS Limited,MPSLTD,INE943D01017,Consumer Discretionary,E-Learning
PSP Projects Limited,PSPPROJECT,INE488V01015,Industrials,Civil Construction
Premier Explosives Limited,PREMIER,INE342A01018,Commodities,Explosives
Sanghvi Movers Limited,SANGHVIMOV,INE989A01032,Services,Diversified Commercial Services
NIIT Learning Systems Limited,NIITMTS,INE342G01023,Consumer Discretionary,Education
Ramky Infrastructure Limited,RAMKY,INE874I01013,Industrials,Civil Construction
Muthoot Microfin Limited,MUTHOOTMF,INE046W01019,Financial Services,Microfinance Institutions
Wonderla Holidays Limited,WONDERLA,INE066O01014,Consumer Discretionary,Amusement Parks/ Other Recreation
Heritage Foods Limited,HERITGFOOD,INE978A01027,Fast Moving Consumer Goods,Dairy Products
Jindal Poly Films Limited,JINDALPOLY,INE197D01010,Industrials,Packaging
Bharat Bijlee Limited,BBL,INE464A01036,Industrials,Heavy Electrical Equipment
Insolation Energy Limited,INA,INE0LGX01024,Industrials,Other Electrical Equipment
Mayur Uniquoters Ltd,MAYURUNIQ,INE040D01038,Consumer Discretionary,Leather And Leather Products
Vadilal Industries Limited,VADILALIND,INE694D01016,Fast Moving Consumer Goods,Dairy Products
Quess Corp Limited,QUESS,INE615P01015,Services,Diversified Commercial Services
Polyplex Corporation Limited,POLYPLEX,INE633B01018,Industrials,Packaging
Deep Industries Limited,DEEPINDS,INE0FHS01024,Energy,Oil Equipment & Services
UFLEX Limited,UFLEX,INE516A01017,Industrials,Packaging
Mstc Limited,MSTCLTD,INE255X01014,Services,Trading & Distributors
Prince Pipes And Fittings Limited,PRINCEPIPE,INE689W01016,Industrials,Plastic Products - Industrial
CARYSIL LIMITED,CARYSIL,INE482D01024,Consumer Discretionary,Household Appliances
Sundaram Clayton Limited,SUNCLAY,INE0Q3R01026,Consumer Discretionary,Auto Components & Equipments
Steelcast Limited,STEELCAS,INE124E01038,Industrials,Castings & Forgings
Grauer & Weil India Limited,GRAUWEIL,INE266D01021,Commodities,Commodity Chemicals
Hubtown Limited,HUBTOWN,INE703H01016,Consumer Discretionary,Residential Commercial Projects
Savita Oil Technologies Limited,SOTL,INE035D01020,Energy,Lubricants
Easy Trip Planners Limited,EASEMYTRIP,INE07O001026,Consumer Discretionary,Tour Travel Related Services
Fusion Finance Limited,FUSION,INE139R01012,Financial Services,Microfinance Institutions
ADF Foods Limited,ADFFOODS,INE982B01027,Fast Moving Consumer Goods,Packaged Foods
Rossari Biotech Limited,ROSSARI,INE02A801020,Commodities,Specialty Chemicals
Nitin Spinners Limited,NITINSPIN,INE229H01012,Consumer Discretionary,Other Textile Products
Gufic Biosciences Limited,GUFICBIO,INE742B01025,Healthcare,Pharmaceuticals
Zaggle Prepaid Ocean Services Limited,ZAGGLE,INE07K301024,Information Technology,IT Enabled Services
Arvind SmartSpaces Limited,ARVIND,INE034A01011,Consumer Discretionary,Residential Commercial Projects
Nalwa Sons Investments Limited,NSIL,INE023A01030,Financial Services,Investment Company
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,INE495A01022,Fast Moving Consumer Goods,Sugar
Venus Pipes & Tubes Limited,VENUSPIPES,INE0JA001018,Industrials,Iron & Steel Products
Orient Cement Limited,ORIENTCEM,INE876N01018,Commodities,Cement & Cement Products
Tatva Chintan Pharma Chem Limited,TATVA,INE0GK401011,Commodities,Specialty Chemicals
Elpro International Limited,ELPROINTL,INE579B01039,Consumer Discretionary,Residential Commercial Projects
EFC (I) Limited,EFCIL,INE886D01026,Services,Diversified Commercial Services
NOCIL Limited,NOCIL,INE163A01018,Commodities,Specialty Chemicals
Maithan Alloys Limited,MAITHANALL,INE683C01011,Commodities,Ferro & Silica Manganese
Euro Pratik Sales Limited,EUROPRATIK,INE198501012,Consumer Discretionary,Furniture Home Furnishing
TVS Srichakra Limited,TVSSRICHAK,INE421C01016,Consumer Discretionary,Tyres & Rubber Products
Ganesha Ecosphere Limited,GANECOS,INE845D01014,Consumer Discretionary,Other Textile Products
Borosil Limited,BOROLTD,INE02PY01013,Consumer Discretionary,Houseware
Prakash Industries Limited,PRAKASH,INE603A01013,Commodities,Iron & Steel
John Cockerill India Limited,COCKERILL,INE515A01019,Industrials,Industrial Products
Automotive Axles Limited,AUTOAXLES,INE449A01011,Consumer Discretionary,Auto Components & Equipments
Standard Engineering Technology Limited,SETL,INE0M4D01010,Industrials,Industrial Products
Marsons Limited,MARSONS,INE415B01044,Industrials,Heavy Electrical Equipment
JTL INDUSTRIES LIMITED,JTLIND,INE391J01032,Industrials,Iron & Steel Products
Vardhman Special Steels Limited,VSSL,INE050M01012,Industrials,Iron & Steel Products
Siyaram Silk Mills Limited,SIYSIL,INE076B01028,Consumer Discretionary,Other Textile Products
Parag Milk Foods Limited,PARAGMILK,INE883N01014,Fast Moving Consumer Goods,Dairy Products
Jubilant Agri and Consumer Products Limited,JUBLCPL,INE03CC01015,Commodities,Specialty Chemicals
Shankara Buildpro Limited,BUILDPRO,INE24OJ01011,Services,Trading & Distributors
Unichem Laboratories Limited,UNICHEMLAB,INE351A01035,Healthcare,Pharmaceuticals
Protean eGov Technologies Limited,PROTEAN,INE004A01022,Information Technology,IT Enabled Services
Jindal Worldwide Limited,JINDWORLD,INE247D01039,Consumer Discretionary,Other Textile Products
Panacea Biotec Limited,PANACEABIO,INE922B01023,Healthcare,Pharmaceuticals
Patel Engineering Limited,PATELENG,INE244B01030,Industrials,Civil Construction
Apcotex Industries Limited,APCOTEXIND,INE116A01032,Industrials,Rubber
Xpro India Limited,XPROINDIA,INE445C01015,Industrials,Packaging
Pokarna Limited,POKARNA,INE637C01025,Consumer Discretionary,Granites & Marbles
Globus Spirits Limited,GLOBUSSPR,INE615I01010,Fast Moving Consumer Goods,Breweries & Distilleries
Thirumalai Chemicals Limited,TIRUMALCHM,INE338A01024,Commodities,Commodity Chemicals
Sundrop Brands Limited,SUNDROP,INE209A01019,Fast Moving Consumer Goods,Edible Oil
GK Energy Limited,GKENERGY,INE1AG301022,Industrials,Civil Construction
Hikal Limited,HIKAL,INE475B01022,Healthcare,Pharmaceuticals
Federal-Mogul Goetze (India) Limited.,FMGOETZE,INE529A01010,Consumer Discretionary,Auto Components & Equipments
Bombay Dyeing & Mfg Company Limited,BOMDYEING,INE032A01023,Consumer Discretionary,Other Textile Products
Kilburn Engineering Limited,KLBRENG-B,INE338F01015,Industrials,Industrial Products
Veedol Corporation Limited,VEEDOL,INE484C01030,Energy,Lubricants
Antelopus Selan Energy Limited,ANTELOPUS,INE818A01017,Energy,Oil Exploration & Production
Windsor Machines Limited,WINDMACHIN,INE052A01021,Industrials,Industrial Products
Yasho Industries Limited,YASHO,INE616Z01012,Commodities,Specialty Chemicals
Rane (Madras) Limited,RML,INE050H01012,Consumer Discretionary,Auto Components & Equipments
The Orissa Minerals Development Company Limited,ORISSAMINE,INE725E01024,Commodities,Industrial Minerals
Ddev Plastiks Industries Limited,DDEVPLSTIK,INE0HR601026,Commodities,Specialty Chemicals
Repco Home Finance Limited,REPCOHOME,INE612J01015,Financial Services,Housing Finance Company
Jash Engineering Limited,JASH,INE039O01029,Industrials,Industrial Products
Satin Creditcare Network Limited,SATIN,INE836B01017,Financial Services,Microfinance Institutions
Uniparts India Limited,UNIPARTS,INE244O01017,Consumer Discretionary,Auto Components & Equipments
Sangam (India) Limited,SANGAMIND,INE495C01010,Consumer Discretionary,Other Textile Products
MSP Steel & Power Limited,MSPL,INE752G01015,Industrials,Iron & Steel Products
K.P. Energy Limited,KPEL,INE127T01021,Utilities,Power Generation
Ramco Industries Limited,RAMCOIND,INE614A01028,Commodities,Other Construction Materials
Kiri Industries Limited,KIRIINDUS,INE415I01015,Commodities,Dyes And Pigments
Sirca Paints India Limited,SIRCA,INE792Z01011,Consumer Discretionary,Paints
Apollo Pipes Limited,APOLLOPIPE,INE126J01016,Industrials,Plastic Products - Industrial
Veranda Learning Solutions Limited,VERANDA,INE0IQ001011,Consumer Discretionary,E-Learning
Bhansali Engineering Polymers Limited,BEPL,INE922A01025,Commodities,Specialty Chemicals
Sagar Cements Limited,SAGCEM,INE229C01021,Commodities,Cement & Cement Products
Morepen Laboratories Limited,MOREPENLAB,INE083A01026,Healthcare,Pharmaceuticals
Monarch Networth Capital Limited,MONARCH,INE903D01011,Financial Services,Stockbroking & Allied
Ajmera Realty & Infra India Limited,AJMERA,INE298G01035,Consumer Discretionary,Residential Commercial Projects
Prataap Snacks Limited,DIAMONDYD,INE393P01035,Fast Moving Consumer Goods,Packaged Foods
Nitco Limited,NITCO,INE858F01012,Consumer Discretionary,Ceramics
Camlin Fine Sciences Limited,CAMLINFINE,INE052I01032,Commodities,Specialty Chemicals
Eveready Industries India Limited,EVEREADY,INE128A01029,Fast Moving Consumer Goods,Household Products
Bharat Rasayan Limited,BHARATRAS,INE838B01021,Commodities,Pesticides & Agrochemicals
National Standard (India) Limited,NATIONSTD,INE166R01015,Consumer Discretionary,Residential Commercial Projects
Awfis Space Solutions Limited,AWFIS,INE108V01019,Services,Diversified Commercial Services
TCPL Packaging Limited,TCPLPACK,INE822C01015,Industrials,Packaging
Prabha Energy Limited,PRABHA,INE0I0M01023,Energy,Oil Exploration & Production
Kernex Microsystems (India) Limited,KERNEX,INE202H01019,Services,Transport Related Services
Brigade Hotel Ventures Limited,BRIGHOTEL,INE03NU01014,Consumer Discretionary,Hotels & Resorts
Ravindra Energy Limited,RELTD,INE206N01018,Industrials,Other Electrical Equipment
Gujarat Industries Power Company Limited,GIPCL,INE162A01010,Utilities,Power Generation
EPACK Durable Limited,EPACK,INE0G5901015,Consumer Discretionary,Household Appliances
Advait Energy Transitions Limited,ADVAIT,INE0ALI01010,Industrials,Other Electrical Equipment
JNK India Limited,JNKINDIA,INE0OAF01028,Industrials,Industrial Products
HPL Electric & Power Limited,HPL,INE495S01016,Industrials,Industrial Products
Fischer Medical Ventures Limited,FISCHER,INE771F01041,Healthcare,Medical Equipment & Supplies
MM Forgings Limited,MMFL,INE227C01017,Consumer Discretionary,Auto Components & Equipments
Rhetan TMT Limited,RHETAN,INE0KKN01029,Industrials,Iron & Steel Products
Mangalam Cement Limited,MANGLMCEM,INE347A01017,Commodities,Cement & Cement Products
Hindustan Oil Exploration Company Limited,HINDOILEXP,INE345A01011,Energy,Oil Exploration & Production
HLE Glascoat Limited,HLEGLAS,INE461D01028,Industrials,Industrial Products
Alembic Limited,ALEMBICLTD,INE426A01027,Consumer Discretionary,Residential Commercial Projects
DCX Systems Limited,DCXINDIA,INE0KL801015,Industrials,Aerospace & Defense
Greenpanel Industries Limited,GREENPANEL,INE08ZM01014,Consumer Discretionary,Plywood Boards/ Laminates
Kalyani Investment Company Limited,KICL,INE029L01018,Financial Services,Investment Company
Pix Transmissions Limited,PIXTRANS,INE751B01018,Industrials,Rubber
Network People Services Technologies Limited,NPST,INE0FFK01017,Financial Services,Financial Technology (Fintech)
Kwality Pharmaceuticals Limited,KPL,INE552U01010,Healthcare,Pharmaceuticals
Sanstar Limited,SANSTAR,INE08NE01025,Fast Moving Consumer Goods,Other Agricultural Products
Servotech Renewable Power System Limited,IREDA,INE202E01016,Industrials,Other Electrical Equipment
COSMO FIRST LIMITED,COSMOFIRST,INE757A01017,Industrials,Packaging
Shipping Corporation of India Land and Assets Limited,SCI,INE109A01011,Financial Services,Investment Company
Venky's (India) Limited,VENKEYS,INE398A01010,Fast Moving Consumer Goods,Meat Products including Poultry
Arkade Developers Limited,ARKADE,INE0QRL01017,Consumer Discretionary,Residential Commercial Projects
Sai Parenterals Limited,SAIPARENT,INE0H9F01037,Healthcare,Pharmaceuticals
Insecticides (India) Limited,INSECTICID,INE070I01018,Commodities,Pesticides & Agrochemicals
Somany Ceramics Limited,SOMANYCERA,INE355A01028,Consumer Discretionary,Ceramics
Rajratan Global Wire Limited,RAJRATAN,INE451D01029,Consumer Discretionary,Auto Components & Equipments
